amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'PN1295', u'bill_id': u'pn1295-113', u'latest_action': None}",Senate,113,2014-02-06,"Max Sieben Baucus, of Montana, to be Ambassador to the People&#39;s Republic of China",B000243,"{u'nomination_id': u'PN1295-113', u'agency': u'', u'number': u'PN1295', u'name': u''}",Present,On the Nomination,Nomination Confirmed,25,2,14:48:00,"{u'not_voting': 3, u'yes': 96, u'present': 1, u'no': 0}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/25.json,pn1295,NA,NA
{},"{u'title': u'A bill to provide for the extension of certain unemployment benefits, and for other purposes.', u'number': u'S.1845', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s1845.json', u'latest_action': u'Motion by Senator Reid to reconsider the vote by which second cloture was not invoked on the bill (Record Vote No. 24) made in Senate. (consideration: CR S794)', u'sponsor_id': u'R000122', u'bill_id': u's1845-113'}",Senate,113,2014-02-06,"A bill to provide for the extension of certain unemployment benefits, and for other purposes.",B000243,,Yes,On the Cloture Motion,Cloture Motion Rejected,24,2,14:28:00,"{u'not_voting': 2, u'yes': 55, u'present': 0, u'no': 43}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/24.json,s1845,R000122,https://api.propublica.org/congress/v1/113/bills/s1845.json
{u'number': u'S.Amdt. 2714'},"{u'title': u'A bill to provide for the extension of certain unemployment benefits, and for other purposes.', u'number': u'S. 1845', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s1845.json', u'latest_action': u'Motion by Senator Reid to reconsider the vote by which second cloture was not invoked on the bill (Record Vote No. 24) made in Senate. (consideration: CR S794)', u'sponsor_id': u'R000122', u'bill_id': u's1845-113'}",Senate,113,2014-02-06,Of a perfecting nature.,B000243,,Yes,On the Cloture Motion,Cloture Motion Rejected,23,2,14:00:00,"{u'not_voting': 2, u'yes': 58, u'present': 0, u'no': 40}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/23.json,s1845,R000122,https://api.propublica.org/congress/v1/113/bills/s1845.json
{u'number': u'S.Amdt. 2631'},"{u'title': u'A bill to provide for the extension of certain unemployment benefits, and for other purposes.', u'number': u'S. 1845', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s1845.json', u'latest_action': u'Motion by Senator Reid to reconsider the vote by which second cloture was not invoked on the bill (Record Vote No. 24) made in Senate. (consideration: CR S794)', u'sponsor_id': u'R000122', u'bill_id': u's1845-113'}",Senate,113,2014-02-04,Relating to extension and modification of emergency unemployment compensation program.,B000243,,Yes,On the Motion to Table,Motion to Table Agreed to,22,2,15:06:00,"{u'not_voting': 2, u'yes': 98, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/22.json,s1845,R000122,https://api.propublica.org/congress/v1/113/bills/s1845.json
{},"{u'title': u'To provide for the reform and continuation of agricultural and other programs of the Department of Agriculture through fiscal year 2018, and for other purposes.', u'number': u'H.R.2642', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hr2642.json', u'latest_action': u'Became Public Law No: 113-79.', u'sponsor_id': u'L000491', u'bill_id': u'hr2642-113'}",Senate,113,2014-02-04,"A bill to provide for the reform and continuation of agricultural and other programs of the Department of Agriculture through fiscal year 2018, and for other purposes.",B000243,,Yes,On the Conference Report,Conference Report Agreed to,21,2,14:35:00,"{u'not_voting': 0, u'yes': 68, u'present': 0, u'no': 32}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/21.json,hr2642,L000491,https://api.propublica.org/congress/v1/113/bills/hr2642.json
{},"{u'title': u'To provide for the reform and continuation of agricultural and other programs of the Department of Agriculture through fiscal year 2018, and for other purposes.', u'number': u'H.R.2642', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hr2642.json', u'latest_action': u'Became Public Law No: 113-79.', u'sponsor_id': u'L000491', u'bill_id': u'hr2642-113'}",Senate,113,2014-02-03,"A bill to provide for the reform and continuation of agricultural and other programs of the Department of Agriculture through fiscal year 2018, and for other purposes.",B000243,,Yes,On the Cloture Motion,Cloture Motion Agreed to,20,2,17:31:00,"{u'not_voting': 6, u'yes': 72, u'present': 0, u'no': 22}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/20.json,hr2642,L000491,https://api.propublica.org/congress/v1/113/bills/hr2642.json
{},"{u'title': u'A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and to reform the National Association of Registered Agents and Brokers, and for other purposes.', u'number': u'S.1926', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s1926.json', u'latest_action': u'Held at the desk.', u'sponsor_id': u'M000639', u'bill_id': u's1926-113'}",Senate,113,2014-01-30,"A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and to reform the National Association of Registered Agents and Brokers, and ...",B000243,,Yes,On Passage of the Bill,Bill Passed,19,2,13:55:00,"{u'not_voting': 1, u'yes': 67, u'present': 0, u'no': 32}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/19.json,s1926,M000639,https://api.propublica.org/congress/v1/113/bills/s1926.json
{u'number': u'S.Amdt. 2700'},"{u'title': u'A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and to reform the National Association of Registered Agents and Brokers, and for other purposes.', u'number': u'S. 1926', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s1926.json', u'latest_action': u'Held at the desk.', u'sponsor_id': u'M000639', u'bill_id': u's1926-113'}",Senate,113,2014-01-30,To clarify that any private flood insurance policy accepted by a State shall satisfy the mandatory purchase requirement under the Flood Disaster Protection Act of 1973.,B000243,,No,On the Amendment,Amendment Rejected,18,2,12:10:00,"{u'not_voting': 1, u'yes': 49, u'present': 0, u'no': 50}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/18.json,s1926,M000639,https://api.propublica.org/congress/v1/113/bills/s1926.json
{u'number': u'S.Amdt. 2697'},"{u'title': u'A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and to reform the National Association of Registered Agents and Brokers, and for other purposes.', u'number': u'S. 1926', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s1926.json', u'latest_action': u'Held at the desk.', u'sponsor_id': u'M000639', u'bill_id': u's1926-113'}",Senate,113,2014-01-30,To allow States to opt-out of participation in the National Association of Registered Agents and Brokers.,B000243,,No,On the Amendment,Amendment Rejected,17,2,11:48:00,"{u'not_voting': 1, u'yes': 24, u'present': 0, u'no': 75}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/17.json,s1926,M000639,https://api.propublica.org/congress/v1/113/bills/s1926.json
{u'number': u'S.Amdt. 2707'},"{u'title': u'A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and to reform the National Association of Registered Agents and Brokers, and for other purposes.', u'number': u'S. 1926', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s1926.json', u'latest_action': u'Held at the desk.', u'sponsor_id': u'M000639', u'bill_id': u's1926-113'}",Senate,113,2014-01-30,To adjust phase-ins of flood insurance rate increases.,B000243,,No,On the Amendment,Amendment Rejected,16,2,11:19:00,"{u'not_voting': 1, u'yes': 34, u'present': 0, u'no': 65}",https://api.propublica.org/congress/v1/113/senate/sessions/2/votes/16.json,s1926,M000639,https://api.propublica.org/congress/v1/113/bills/s1926.json
