api_uri,begin_date,end_date,first_name,id,last_name,middle_name,note,party,state,status,session
https://api.propublica.org/congress/v1/members/M001014.json,1967-01-10,1969-01-03,Wayne,M001014,Morse,Lyman,,D,OR,Defeated in general election,90
https://api.propublica.org/congress/v1/members/H000559.json,1967-01-10,1969-01-03,Bourke,H000559,Hickenlooper,Blakemore,,R,IA,Retiring,90
https://api.propublica.org/congress/v1/members/L000415.json,1967-01-10,1969-01-03,Edward,L000415,Long,Vaughn,,D,MO,Defeated in primary election,90
https://api.propublica.org/congress/v1/members/H000385.json,1967-01-10,1969-01-03,Carl,H000385,Hayden,Trumbull,,D,AZ,Retiring,90
https://api.propublica.org/congress/v1/members/K000114.json,1967-01-10,1969-01-03,Robert,K000114,Kennedy,Francis,,D,NY,Left Congress,90
https://api.propublica.org/congress/v1/members/L000122.json,1967-01-10,1969-01-03,Frank,L000122,Lausche,John,,D,OH,Defeated in primary election,90
https://api.propublica.org/congress/v1/members/S000505.json,1967-01-10,1969-01-03,George,S000505,Smathers,Armistead,,D,FL,Retiring,90
https://api.propublica.org/congress/v1/members/H000598.json,1967-01-10,1969-01-03,Joseph,H000598,Hill,Lister,,D,AL,Retiring,90
https://api.propublica.org/congress/v1/members/M001022.json,1967-01-10,1969-01-03,Thruston,M001022,Morton,Ballard,,R,KY,Retiring,90
https://api.propublica.org/congress/v1/members/M000859.json,1967-01-10,1969-01-03,Almer,M000859,Monroney,Stillwell Mike,,D,OK,Defeated in general election,90
https://api.propublica.org/congress/v1/members/C000154.json,1967-01-10,1969-01-03,Frank,C000154,Carlson,,,R,KS,Retiring,90
https://api.propublica.org/congress/v1/members/C000444.json,1967-01-10,1969-01-03,Joseph,C000444,Clark,Sill,,D,PA,Defeated in general election,90
https://api.propublica.org/congress/v1/members/B000201.json,1967-01-10,1969-01-03,Edward,B000201,Bartlett,Lewis,,D,AK,Left Congress,90
https://api.propublica.org/congress/v1/members/G000508.json,1967-01-10,1969-01-03,Ernest,G000508,Gruening,,,D,AK,Defeated in primary election,90
https://api.propublica.org/congress/v1/members/K000335.json,1967-01-10,1969-01-03,Thomas,K000335,Kuchel,Henry,,R,CA,Defeated in primary election,90
https://api.propublica.org/congress/v1/members/B000813.json,1967-01-10,1969-01-03,Daniel,B000813,Brewster,Baugh,,D,MD,Defeated in general election,90
