amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'American Taxpayer Relief Act of 2012', u'number': u'H.R.8', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr8.json', u'latest_action': u'Presented to President.Note: Final passage of the &quot;fiscal cliff bill&quot; on January 1, 2013, averted scheduled income tax rate increases and the spending reductions required by the sequestration process.', u'sponsor_id': u'C000071', u'bill_id': u'hr8-112'}",Senate,112,2013-01-01,American Taxpayer Relief Act of 2012,K000352,,Yes,On Passage of the Bill H.R. 8,Bill Passed,251,2,01:39:00,"{u'not_voting': 3, u'yes': 89, u'present': 0, u'no': 8}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/251.json,hr8,C000071,https://api.propublica.org/congress/v1/112/bills/hr8.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN1064', u'bill_id': u'pn1064-112', u'latest_action': None}",Senate,112,2012-12-30,"Carol J. Galante, of California, to be an Assistant Secretary of Housing and Urban Development",K000352,"{u'nomination_id': u'PN1064-112', u'agency': u'', u'number': u'PN1064', u'name': u''}",No,On the Nomination PN1064,Nomination Confirmed,250,2,14:39:00,"{u'not_voting': 7, u'yes': 69, u'present': 0, u'no': 24}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/250.json,pn1064,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN1354', u'bill_id': u'pn1354-112', u'latest_action': None}",Senate,112,2012-12-30,"William Joseph Baer, of Maryland, to be an Assistant Attorney General",K000352,"{u'nomination_id': u'PN1354-112', u'agency': u'', u'number': u'PN1354', u'name': u''}",No,On the Nomination PN1354,Nomination Confirmed,249,2,14:10:00,"{u'not_voting': 10, u'yes': 64, u'present': 0, u'no': 26}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/249.json,pn1354,NA,NA
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H.R.1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",Senate,112,2012-12-28,"Full-Year Continuing Appropriations Act, 2011 ",K000352,,No,On Passage of the Bill H.R. 1,Bill Passed,248,2,18:32:00,"{u'not_voting': 6, u'yes': 62, u'present': 0, u'no': 32}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/248.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt3391.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/C000542.json', u'number': u'S.Amdt. 3391 to S.Amdt. 3395', u'sponsor_party': u'R', u'sponsor': u'Daniel Coats', u'sponsor_id': u'C000542', u'sponsor_state': u'Ind.'}","{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H.R. 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",Senate,112,2012-12-28,"Full-Year Continuing Appropriations Act, 2011 ",K000352,,Yes,"On the Amendment S.Amdt. 3391 to S.Amdt. 3395 to H.R. 1 (Full-Year Continuing Appropriations Act, 2011)",Amendment Rejected,247,2,18:11:00,"{u'not_voting': 5, u'yes': 41, u'present': 0, u'no': 54}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/247.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt3367.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/M001176.json', u'number': u'S.Amdt. 3367 to S.Amdt. 3395', u'sponsor_party': u'D', u'sponsor': u'Jeff Merkley', u'sponsor_id': u'M001176', u'sponsor_state': u'Ore.'}","{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H.R. 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",Senate,112,2012-12-28,"Full-Year Continuing Appropriations Act, 2011 ",K000352,,No,"On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Merkley Amdt. No. 3367, as Modified Further)",Motion Rejected,246,2,17:47:00,"{u'not_voting': 5, u'yes': 55, u'present': 0, u'no': 40}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/246.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt3355.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/M000303.json', u'number': u'S.Amdt. 3355 to S.Amdt. 3395', u'sponsor_party': u'R', u'sponsor': u'John McCain', u'sponsor_id': u'M000303', u'sponsor_state': u'Ariz.'}","{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H.R. 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",Senate,112,2012-12-28,"Full-Year Continuing Appropriations Act, 2011 ",K000352,,Yes,"On the Amendment S.Amdt. 3355 to S.Amdt. 3395 to H.R. 1 (Full-Year Continuing Appropriations Act, 2011)",Amendment Rejected,245,2,17:20:00,"{u'not_voting': 5, u'yes': 46, u'present': 0, u'no': 49}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/245.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt3410.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/P000603.json', u'number': u'S.Amdt. 3410 to S.Amdt. 3395', u'sponsor_party': u'R', u'sponsor': u'Rand Paul', u'sponsor_id': u'P000603', u'sponsor_state': u'Ky.'}","{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H.R. 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",Senate,112,2012-12-28,"Full-Year Continuing Appropriations Act, 2011 ",K000352,,No,"On the Amendment S.Amdt. 3410 to S.Amdt. 3395 to H.R. 1 (Full-Year Continuing Appropriations Act, 2011)",Amendment Rejected,244,2,16:57:00,"{u'not_voting': 6, u'yes': 3, u'present': 0, u'no': 91}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/244.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt3376.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/P000603.json', u'number': u'S.Amdt. 3376 to S.Amdt. 3395', u'sponsor_party': u'R', u'sponsor': u'Rand Paul', u'sponsor_id': u'P000603', u'sponsor_state': u'Ky.'}","{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H.R. 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",Senate,112,2012-12-28,"Full-Year Continuing Appropriations Act, 2011 ",K000352,,Yes,"On the Amendment S.Amdt. 3376 to S.Amdt. 3395 to H.R. 1 (Full-Year Continuing Appropriations Act, 2011)",Amendment Rejected,243,2,16:18:00,"{u'not_voting': 6, u'yes': 42, u'present': 0, u'no': 52}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/243.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt3382.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/C000560.json', u'number': u'S.Amdt. 3382 to S.Amdt. 3395', u'sponsor_party': u'R', u'sponsor': u'Tom Coburn', u'sponsor_id': u'C000560', u'sponsor_state': u'Okla.'}","{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H.R. 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",Senate,112,2012-12-28,"Full-Year Continuing Appropriations Act, 2011 ",K000352,,Yes,"On the Amendment S.Amdt. 3382 to S.Amdt. 3395 to H.R. 1 (Full-Year Continuing Appropriations Act, 2011)",Amendment Rejected,242,2,14:11:00,"{u'not_voting': 5, u'yes': 48, u'present': 0, u'no': 47}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/242.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
