amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To reauthorize and enhance the National Environmental Education Act, and for other purposes.', u'number': u'H R 3036', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr3036.json', u'latest_action': u'Referred to Senate committee. Status: Read twice and referred to the Committee on Environment and Public Works.', u'sponsor_id': u'S001168', u'bill_id': u'hr3036-110'}",House,110,2008-09-18,Sarbanes of Maryland Amendment,F000452,Not Voting,On Agreeing to the Amendment,Agreed to,612,2,16:47:00,"{u'not_voting': 32, u'yes': 383, u'present': 0, u'no': 23}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/612.json,hr3036,S001168,https://api.propublica.org/congress/v1/110/bills/hr3036.json
{},"{u'title': u'To restore Second Amendment rights in the District of Columbia.', u'number': u'H R 6842', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr6842.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 1117 under authority of the order of the Senate of 11/17/2008.', u'sponsor_id': u'N000147', u'bill_id': u'hr6842-110'}",House,110,2008-09-17,To restore Second Amendment rights in the District of Columbia.,F000452,Not Voting,On Agreeing to the Amendment,Agreed to,600,2,10:58:00,"{u'not_voting': 17, u'yes': 260, u'present': 1, u'no': 160}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/600.json,hr6842,N000147,https://api.propublica.org/congress/v1/110/bills/hr6842.json
{},"{u'title': u'To amend the Wild and Scenic Rivers Act to designate a segment of the Missisquoi and Trout Rivers in the State of Vermont for study for potential addition to the National Wild and Scenic Rivers System.', u'number': u'H R 3667', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr3667.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.', u'sponsor_id': u'W000800', u'bill_id': u'hr3667-110'}",House,110,2008-09-10,Grijalva of Arizona Amendment,F000452,Not Voting,On Agreeing to the Amendment,Agreed to,581,2,17:53:00,"{u'not_voting': 20, u'yes': 418, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/581.json,hr3667,W000800,https://api.propublica.org/congress/v1/110/bills/hr3667.json
{},"{u'title': u'To amend the Wild and Scenic Rivers Act to designate a segment of the Missisquoi and Trout Rivers in the State of Vermont for study for potential addition to the National Wild and Scenic Rivers System.', u'number': u'H R 3667', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr3667.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.', u'sponsor_id': u'W000800', u'bill_id': u'hr3667-110'}",House,110,2008-09-10,Missisquoi and Trout Rivers Wild and Scenic River Study Act of 2008,F000452,Not Voting,On Motion that the Committee Rise,Passed,580,2,15:52:00,"{u'not_voting': 24, u'yes': 221, u'present': 0, u'no': 193}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/580.json,hr3667,W000800,https://api.propublica.org/congress/v1/110/bills/hr3667.json
{},"{u'title': u'Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2009, and for other purposes.', u'number': u'H R 6599', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr6599.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 945.', u'sponsor_id': u'E000063', u'bill_id': u'hr6599-110'}",House,110,2008-08-01,King of Iowa Amendment,F000452,Not Voting,On Agreeing to the Amendment,Failed,561,2,10:12:00,"{u'not_voting': 21, u'yes': 143, u'present': 0, u'no': 275}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/561.json,hr6599,E000063,https://api.propublica.org/congress/v1/110/bills/hr6599.json
{},"{u'title': u'Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2009, and for other purposes.', u'number': u'H R 6599', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr6599.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 945.', u'sponsor_id': u'E000063', u'bill_id': u'hr6599-110'}",House,110,2008-08-01,Flake of Arizona Amendment,F000452,Not Voting,On Agreeing to the Amendment,Failed,560,2,10:05:00,"{u'not_voting': 25, u'yes': 63, u'present': 1, u'no': 350}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/560.json,hr6599,E000063,https://api.propublica.org/congress/v1/110/bills/hr6599.json
{},"{u'title': u'Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2009, and for other purposes.', u'number': u'H R 6599', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr6599.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 945.', u'sponsor_id': u'E000063', u'bill_id': u'hr6599-110'}",House,110,2008-08-01,McCaul of Texas Amendment,F000452,Not Voting,On Agreeing to the Amendment,Agreed to,559,2,09:58:00,"{u'not_voting': 24, u'yes': 329, u'present': 0, u'no': 86}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/559.json,hr6599,E000063,https://api.propublica.org/congress/v1/110/bills/hr6599.json
{},"{u'title': u'Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2009, and for other purposes.', u'number': u'H R 6599', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr6599.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 945.', u'sponsor_id': u'E000063', u'bill_id': u'hr6599-110'}",House,110,2008-08-01,Garrett of New Jersey Amendment,F000452,Not Voting,On Agreeing to the Amendment,Failed,558,2,09:47:00,"{u'not_voting': 27, u'yes': 185, u'present': 0, u'no': 227}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/558.json,hr6599,E000063,https://api.propublica.org/congress/v1/110/bills/hr6599.json
{},"{u'title': u'To amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.', u'number': u'H R 1338', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr1338.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.', u'sponsor_id': u'D000216', u'bill_id': u'hr1338-110'}",House,110,2008-07-31,Cazayoux of Louisiana Amendment,F000452,Not Voting,On Agreeing to the Amendment,Agreed to,554,2,18:49:00,"{u'not_voting': 12, u'yes': 410, u'present': 1, u'no': 16}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/554.json,hr1338,D000216,https://api.propublica.org/congress/v1/110/bills/hr1338.json
{},"{u'title': u'To amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.', u'number': u'H R 1338', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr1338.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.', u'sponsor_id': u'D000216', u'bill_id': u'hr1338-110'}",House,110,2008-07-31,Giffords of Arizona Amendment,F000452,Not Voting,On Agreeing to the Amendment,Agreed to,553,2,18:44:00,"{u'not_voting': 13, u'yes': 397, u'present': 0, u'no': 29}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/553.json,hr1338,D000216,https://api.propublica.org/congress/v1/110/bills/hr1338.json
