api_uri,begin_date,end_date,first_name,id,last_name,middle_name,note,party,state,status,session
https://api.propublica.org/congress/v1/members/W000658.json,1949-01-03,1951-01-03,Garrett,W000658,Withers,Lee,,D,KY,Elected to state or local post,81
https://api.propublica.org/congress/v1/members/L000173.json,1949-01-03,1951-01-03,Edward,L000173,Leahy,Laurence,,D,RI,Appointed to federal post,81
https://api.propublica.org/congress/v1/members/T000165.json,1949-01-03,1951-01-03,Elmer,T000165,Thomas,,,D,OK,Defeated in primary election,81
https://api.propublica.org/congress/v1/members/B000894.json,1949-01-03,1951-01-03,Joseph,B000894,Broughton,Melville,,D,NC,Left Congress,81
https://api.propublica.org/congress/v1/members/T000079.json,1949-01-03,1951-01-03,Glen,T000079,Taylor,Hearst,,D,ID,Defeated in primary election,81
https://api.propublica.org/congress/v1/members/L000493.json,1949-01-03,1951-01-03,Scott,L000493,Lucas,Wike,,D,IL,Defeated in general election,81
https://api.propublica.org/congress/v1/members/B000145.json,1949-01-03,1951-01-03,Alben,B000145,Barkley,William,,D,KY,Elected to federal post,81
https://api.propublica.org/congress/v1/members/P000218.json,1949-01-03,1951-01-03,Claude,P000218,Pepper,Denson,,D,FL,Defeated in primary election,81
https://api.propublica.org/congress/v1/members/M000456.json,1949-01-03,1951-01-03,James,M000456,McGrath,Howard,,D,RI,Appointed to federal post,81
https://api.propublica.org/congress/v1/members/D000414.json,1949-01-03,1951-01-03,Forrest,D000414,Donnell,C.,,R,MO,Defeated in general election,81
https://api.propublica.org/congress/v1/members/D000522.json,1949-01-03,1951-01-03,John,D000522,Dulles,Foster,,R,NY,Defeated in general election,81
https://api.propublica.org/congress/v1/members/G000532.json,1949-01-03,1951-01-03,John,G000532,Gurney,Chandler,,R,SD,Defeated in primary election,81
https://api.propublica.org/congress/v1/members/G000353.json,1949-01-03,1951-01-03,Frank,G000353,Graham,Porter,,D,NC,Defeated in primary election,81
https://api.propublica.org/congress/v1/members/M000716.json,1949-01-03,1951-01-03,Bert,M000716,Miller,Henry,,D,ID,Left Congress,81
https://api.propublica.org/congress/v1/members/R000112.json,1949-01-03,1951-01-03,Clyde,R000112,Reed,Martin,,R,KS,Left Congress,81
https://api.propublica.org/congress/v1/members/D000048.json,1949-01-03,1951-01-03,Harry,D000048,Darby,,,R,KS,Retiring,81
https://api.propublica.org/congress/v1/members/M001127.json,1949-01-03,1951-01-03,Francis,M001127,Myers,John,,D,PA,Defeated in general election,81
https://api.propublica.org/congress/v1/members/T000446.json,1949-01-03,1951-01-03,Millard,T000446,Tydings,Evelyn,,D,MD,Defeated in general election,81
https://api.propublica.org/congress/v1/members/T000164.json,1949-01-03,1951-01-03,Elbert,T000164,Thomas,Duncan,,D,UT,Defeated in general election,81
https://api.propublica.org/congress/v1/members/B000095.json,1949-01-03,1951-01-03,Raymond,B000095,Baldwin,Earl,,R,CT,Appointed to state or local post,81
https://api.propublica.org/congress/v1/members/D000469.json,1949-01-03,1951-01-03,Sheridan,D000469,Downey,,,D,CA,Retiring,81
https://api.propublica.org/congress/v1/members/W000021.json,1949-01-03,1951-01-03,Robert,W000021,Wagner,Ferdinand,,D,NY,Retiring,81
