amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-16,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Motion,Motion Rejected,190,2,10:45:00,"{u'not_voting': 3, u'yes': 45, u'present': 0, u'no': 52}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/190.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4311.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/F000457.json', u'number': u'S.Amdt. 4311 to S.Amdt. 4301', u'sponsor_party': u'D', u'sponsor': u'Al Franken', u'sponsor_id': u'F000457', u'sponsor_state': u'Minn.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-15,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Amendment,Amendment Agreed to,189,2,18:03:00,"{u'not_voting': 4, u'yes': 63, u'present': 0, u'no': 33}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/189.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4312.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/V000127.json', u'number': u'S.Amdt. 4312 to S.Amdt. 4301', u'sponsor_party': u'R', u'sponsor': u'David Vitter', u'sponsor_id': u'V000127', u'sponsor_state': u'La.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-15,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Amendment,Amendment Rejected,188,2,17:44:00,"{u'not_voting': 3, u'yes': 48, u'present': 0, u'no': 49}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/188.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4318.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/S000033.json', u'number': u'S.Amdt. 4318 to S.Amdt. 4301', u'sponsor_party': u'I', u'sponsor': u'Bernard Sanders', u'sponsor_id': u'S000033', u'sponsor_state': u'Vt.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-15,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Amendment,Amendment Rejected,187,2,17:15:00,"{u'not_voting': 4, u'yes': 35, u'present': 0, u'no': 61}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/187.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN1129', u'bill_id': u'pn1129-111', u'latest_action': None}",Senate,111,2010-06-15,"Brian Anthony Jackson, of Louisiana, to be United States District Judge for the Middle District of Louisiana",B001210,"{u'nomination_id': u'PN1129-111', u'agency': u'', u'number': u'PN1129', u'name': u'Brian Anthony Jackson'}",Not Voting,On the Nomination,Nomination Confirmed,186,2,12:20:00,"{u'not_voting': 4, u'yes': 96, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/186.json,pn1129,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN1364', u'bill_id': u'pn1364-111', u'latest_action': None}",Senate,111,2010-06-15,"Tanya Walton Pratt, of Indiana, to be United States District Judge for the Southern District of Indiana",B001210,"{u'nomination_id': u'PN1364-111', u'agency': u'', u'number': u'PN1364', u'name': u'Tanya Walton Pratt'}",Not Voting,On the Nomination,Nomination Confirmed,185,2,11:50:00,"{u'not_voting': 5, u'yes': 95, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/185.json,pn1364,NA,NA
{},"{u'title': u'A joint resolution disapproving a rule submitted by the Environmental Protection Agency relating to the endangerment finding and the cause or contribute findings for greenhouse gases under section 202(a) of the Clean Air Act.', u'number': u'S.J.Res. 26', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/sjres26.json', u'latest_action': u'Senate floor actions. Status: Motion to proceed to consideration of measure rejected in Senate by Yea-Nay Vote. 47 - 53. Record Vote Number: 184.', u'sponsor_id': u'M001153', u'bill_id': u'sjres26-111'}",Senate,111,2010-06-10,A joint resolution disapproving a rule submitted by the Environmental Protection Agency relating to the endangerment finding and the cause or contribute findings for greenhouse gases under section 202(a) of ...,B001210,,No,On the Motion to Proceed,Motion to Proceed Rejected,184,2,15:52:00,"{u'not_voting': 0, u'yes': 47, u'present': 0, u'no': 53}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/184.json,sjres26,M001153,https://api.propublica.org/congress/v1/111/bills/sjres26.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4302.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/C001056.json', u'number': u'S.Amdt. 4302 to S.Amdt. 4301', u'sponsor_party': u'R', u'sponsor': u'John Cornyn', u'sponsor_id': u'C001056', u'sponsor_state': u'Tex.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-09,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Motion to Table,Motion to Table Failed,183,2,18:01:00,"{u'not_voting': 1, u'yes': 38, u'present': 0, u'no': 61}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/183.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/hamdt4.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/H001036.json', u'number': u'S.Amdt. 4326 to S.Amdt. 4301', u'sponsor_party': u'R', u'sponsor': u'Jeb Hensarling', u'sponsor_id': u'H001036', u'sponsor_state': u'Tex.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-09,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Amendment,Amendment Agreed to,182,2,17:34:00,"{u'not_voting': 1, u'yes': 58, u'present': 0, u'no': 41}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/182.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4303.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/S001141.json', u'number': u'S.Amdt. 4303 to S.Amdt. 4301', u'sponsor_party': u'R', u'sponsor': u'Jeff Sessions', u'sponsor_id': u'S001141', u'sponsor_state': u'Ala.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-09,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Motion,Motion Rejected,181,2,16:54:00,"{u'not_voting': 2, u'yes': 57, u'present': 0, u'no': 41}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/181.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
