api_uri,begin_date,end_date,first_name,id,last_name,middle_name,note,party,state,status,session
https://api.propublica.org/congress/v1/members/J000195.json,1965-01-04,1967-01-03,Olin,J000195,Johnston,DeWitt Talmadge,,D,SC,Left Congress,89
https://api.propublica.org/congress/v1/members/N000052.json,1965-01-04,1967-01-03,Maurine,N000052,Neuberger,Brown,,D,OR,Retiring,89
https://api.propublica.org/congress/v1/members/B000223.json,1965-01-04,1967-01-03,Ross,B000223,Bass,,,D,TN,Defeated in primary election,89
https://api.propublica.org/congress/v1/members/S000434.json,1965-01-04,1967-01-03,Milward,S000434,Simpson,Lee,,R,WY,Retiring,89
https://api.propublica.org/congress/v1/members/R000525.json,1965-01-04,1967-01-03,Donald,R000525,Russell,Stuart,,D,SC,Defeated in primary election,89
https://api.propublica.org/congress/v1/members/M000582.json,1965-01-04,1967-01-03,Patrick,M000582,McNamara,Vincent,,D,MI,Left Congress,89
https://api.propublica.org/congress/v1/members/R000317.json,1965-01-04,1967-01-03,Absalom,R000317,Robertson,Willis,,D,VA,Defeated in primary election,89
https://api.propublica.org/congress/v1/members/S000021.json,1965-01-04,1967-01-03,Leverett,S000021,Saltonstall,,,R,MA,Retiring,89
https://api.propublica.org/congress/v1/members/B001208.json,1965-01-04,1967-01-03,Harry,B001208,Byrd,Flood,,D,VA,Retiring,89
https://api.propublica.org/congress/v1/members/D000456.json,1965-01-04,1967-01-03,Paul,D000456,Douglas,Howard,,D,IL,Defeated in general election,89
