amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to &quot;Disclosure of Payments by Resource Extraction Issuers&quot;.', u'number': u'H.J.Res.41', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hjres41.json', u'latest_action': u'Became Public Law No: 115-4.', u'sponsor_id': u'H001058', u'bill_id': u'hjres41-115'}",Senate,115,2017-02-02,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to &quot;Disclosure of ...",S001141,,Yes,On the Motion to Proceed,Motion to Proceed Agreed to,50,1,17:13:00,"{u'not_voting': 0, u'yes': 52, u'present': 0, u'no': 48}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/50.json,hjres41,H001058,https://api.propublica.org/congress/v1/115/bills/hjres41.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN26', u'bill_id': u'pn26-115', u'latest_action': None}",Senate,115,2017-02-02,"Steven T. Mnuchin, of California, to be Secretary of the Treasury",S001141,"{u'nomination_id': u'PN26-115', u'agency': u'Department of the Treasury', u'number': u'PN26', u'name': u'Steven T. Mnuchin'}",Yes,On the Motion to Proceed,Motion to Proceed Agreed to,49,1,16:53:00,"{u'not_voting': 0, u'yes': 52, u'present': 0, u'no': 48}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/49.json,pn26,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN26', u'bill_id': u'pn26-115', u'latest_action': None}",Senate,115,2017-02-02,"Steven T. Mnuchin, of California, to be Secretary of the Treasury",S001141,"{u'nomination_id': u'PN26-115', u'agency': u'Department of the Treasury', u'number': u'PN26', u'name': u'Steven T. Mnuchin'}",Not Voting,On the Motion to Proceed,Motion to Proceed Agreed to,48,1,16:32:00,"{u'not_voting': 1, u'yes': 51, u'present': 0, u'no': 48}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/48.json,pn26,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN33', u'bill_id': u'pn33-115', u'latest_action': None}",Senate,115,2017-02-02,"Thomas Price, of Georgia, to be Secretary of Health and Human Services",S001141,"{u'nomination_id': u'PN33-115', u'agency': u'Department of Health and Human Services', u'number': u'PN33', u'name': u'Thomas Price'}",Not Voting,On the Motion to Proceed,Motion to Proceed Agreed to,47,1,16:08:00,"{u'not_voting': 1, u'yes': 52, u'present': 0, u'no': 47}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/47.json,pn33,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN33', u'bill_id': u'pn33-115', u'latest_action': None}",Senate,115,2017-02-02,"Thomas Price, of Georgia, to be Secretary of Health and Human Services",S001141,"{u'nomination_id': u'PN33-115', u'agency': u'Department of Health and Human Services', u'number': u'PN33', u'name': u'Thomas Price'}",Not Voting,On the Motion to Proceed,Motion to Proceed Agreed to,46,1,15:46:00,"{u'not_voting': 1, u'yes': 51, u'present': 0, u'no': 48}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/46.json,pn33,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN30', u'bill_id': u'pn30-115', u'latest_action': None}",Senate,115,2017-02-02,"Jeff Sessions, of Alabama, to be Attorney General",S001141,"{u'nomination_id': u'PN30-115', u'agency': u'Department of Justice', u'number': u'PN30', u'name': u'Jeff Sessions'}",Not Voting,On the Motion to Proceed,Motion to Proceed Agreed to,45,1,15:27:00,"{u'not_voting': 2, u'yes': 51, u'present': 0, u'no': 47}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/45.json,pn30,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN30', u'bill_id': u'pn30-115', u'latest_action': None}",Senate,115,2017-02-02,"Jeff Sessions, of Alabama, to be Attorney General",S001141,"{u'nomination_id': u'PN30-115', u'agency': u'Department of Justice', u'number': u'PN30', u'name': u'Jeff Sessions'}",Not Voting,On the Motion to Proceed,Motion to Proceed Agreed to,44,1,15:06:00,"{u'not_voting': 2, u'yes': 53, u'present': 0, u'no': 45}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/44.json,pn30,NA,NA
{},"{u'title': u'Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.', u'number': u'H.J.Res.38', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hjres38.json', u'latest_action': u'Became Public Law No: 115-5.', u'sponsor_id': u'J000292', u'bill_id': u'hjres38-115'}",Senate,115,2017-02-02,A joint resolution disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,S001141,,Not Voting,On Passage of the Bill,Bill Passed,43,1,14:37:00,"{u'not_voting': 1, u'yes': 54, u'present': 0, u'no': 45}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/43.json,hjres38,J000292,https://api.propublica.org/congress/v1/115/bills/hjres38.json
{},"{u'title': u'Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.', u'number': u'H.J.Res.38', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hjres38.json', u'latest_action': u'Became Public Law No: 115-5.', u'sponsor_id': u'J000292', u'bill_id': u'hjres38-115'}",Senate,115,2017-02-01,A joint resolution disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,S001141,,Yes,On the Motion to Proceed,Motion to Proceed Agreed to,42,1,18:24:00,"{u'not_voting': 2, u'yes': 56, u'present': 0, u'no': 42}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/42.json,hjres38,J000292,https://api.propublica.org/congress/v1/115/bills/hjres38.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN37', u'bill_id': u'pn37-115', u'latest_action': None}",Senate,115,2017-02-01,"Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",S001141,"{u'nomination_id': u'PN37-115', u'agency': u'Department of Education', u'number': u'PN37', u'name': u'Elisabeth Prince DeVos'}",Not Voting,On the Motion to Proceed,Motion to Proceed Agreed to,41,1,17:53:00,"{u'not_voting': 3, u'yes': 55, u'present': 0, u'no': 42}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/41.json,pn37,NA,NA
