api_uri,begin_date,district,end_date,first_name,id,last_name,middle_name,note,party,state,status,session
https://api.propublica.org/congress/v1/members/F000116.json,2011-01-04,51,2012-12-03,Bob,F000116,Filner,,Resigned after being elected Mayor of San Diego.,D,CA,Elected to state or local post,112
https://api.propublica.org/congress/v1/members/L000574.json,2011-01-04,3,2013-01-03,Jeff,L000574,Landry,,Defeated for reelection.,R,LA,Defeated in general election,112
https://api.propublica.org/congress/v1/members/J000283.json,2011-01-04,2,2012-11-21,Jesse,J000283,Jackson Jr.,L.,"Announced resignation on Nov. 21, 2012.",D,IL,Left Congress,112
https://api.propublica.org/congress/v1/members/W000807.json,2011-01-04,22,2013-01-03,Allen,W000807,West,,Defeated for reelection.,R,FL,Defeated in general election,112
https://api.propublica.org/congress/v1/members/B000461.json,2011-01-04,50,2013-01-03,Brian,B000461,Bilbray,P.,Defeated for reelection.,R,CA,Defeated in general election,112
https://api.propublica.org/congress/v1/members/L000517.json,2011-01-04,3,2013-01-03,Dan,L000517,Lungren,,Lost general election.,R,CA,Defeated in general election,112
https://api.propublica.org/congress/v1/members/B000410.json,2011-01-04,28,2013-01-03,Howard,B000410,Berman,L.,Lost general election.,D,CA,Defeated in general election,112
https://api.propublica.org/congress/v1/members/B001276.json,2011-01-04,25,2013-01-03,Ann Marie,B001276,Buerkle,,Lost general election.,R,NY,Defeated in general election,112
https://api.propublica.org/congress/v1/members/H001046.json,2011-01-04,1,2013-01-03,Martin,H001046,Heinrich,,Elected to the U.S. Senate.,D,NM,Elected to federal post,112
https://api.propublica.org/congress/v1/members/S001174.json,2011-01-04,13,2013-01-03,Betty,S001174,Sutton,,Defeated for reelection.,D,OH,Defeated in general election,112
https://api.propublica.org/congress/v1/members/R000590.json,2011-01-04,25,2013-01-03,David,R000590,Rivera,,Lost general election.,R,FL,Defeated in general election,112
https://api.propublica.org/congress/v1/members/C001058.json,2011-01-04,6,2013-01-03,Ben,C001058,Chandler,,Defeated for reelection.,D,KY,Defeated in general election,112
https://api.propublica.org/congress/v1/members/M001169.json,2011-01-04,5,2013-01-03,Christopher,M001169,Murphy,S.,Elected to the U.S. Senate.,D,CT,Elected to federal post,112
https://api.propublica.org/congress/v1/members/G000570.json,2011-01-04,1,2013-01-03,Frank,G000570,Guinta,,Defeated for reelection.,R,NH,Defeated in general election,112
https://api.propublica.org/congress/v1/members/W000811.json,2011-01-04,8,2013-01-03,Joe,W000811,Walsh,,Defeated for reelection.,R,IL,Defeated in general election,112
https://api.propublica.org/congress/v1/members/C001082.json,2011-01-04,23,2013-01-03,Francisco,C001082,Canseco,,Defeated for reelection.,R,TX,Defeated in general election,112
https://api.propublica.org/congress/v1/members/B001230.json,2011-01-04,2,2013-01-03,Tammy,B001230,Baldwin,,Elected to the U.S. Senate.,D,WI,Elected to federal post,112
https://api.propublica.org/congress/v1/members/P000587.json,2011-01-04,6,2013-01-03,Mike,P000587,Pence,,Elected Governor.,R,IN,Elected to state or local post,112
https://api.propublica.org/congress/v1/members/B000220.json,2011-01-04,2,2013-01-03,Charles,B000220,Bass,F.,Defeated for reelection.,R,NH,Defeated in general election,112
https://api.propublica.org/congress/v1/members/K000369.json,2011-01-04,8,2013-01-03,Larry,K000369,Kissell,,Defeated for reelection.,D,NC,Defeated in general election,112
https://api.propublica.org/congress/v1/members/D000607.json,2011-01-04,2,2013-01-03,Joe,D000607,Donnelly,,Elected to the U.S. Senate.,D,IN,Elected to federal post,112
https://api.propublica.org/congress/v1/members/H001062.json,2011-06-01,26,2013-01-03,Kathy,H001062,Hochul,,Lost general election.,D,NY,Defeated in general election,112
https://api.propublica.org/congress/v1/members/B001232.json,2011-01-04,13,2013-01-03,Judy,B001232,Biggert,,Defeated for reelection.,R,IL,Defeated in general election,112
https://api.propublica.org/congress/v1/members/H001054.json,2011-01-04,19,2013-01-03,Nan,H001054,Hayworth,,Lost general election.,R,NY,Defeated in general election,112
https://api.propublica.org/congress/v1/members/B000652.json,2011-01-04,3,2013-01-03,Leonard,B000652,Boswell,L.,Defeated for reelection.,D,IA,Defeated in general election,112
https://api.propublica.org/congress/v1/members/S001182.json,2011-01-04,17,2013-01-03,Bobby,S001182,Schilling,,Defeated for reelection.,R,IL,Defeated in general election,112
https://api.propublica.org/congress/v1/members/C001089.json,2012-11-13,11,2013-01-03,David,C001089,Curson,Alan,Not a candidate for full term.,D,MI,Retiring,112
