api_uri,begin_date,district,end_date,first_name,id,last_name,middle_name,note,party,state,status,session
https://api.propublica.org/congress/v1/members/O000159.json,2005-01-04,11,2007-01-03,Major,O000159,Owens,R.,Did not seek reelection,D,NY,Retiring,109
https://api.propublica.org/congress/v1/members/S001146.json,2005-01-04,10,2007-01-03,Donald,S001146,Sherwood,L.,Defeated for reelection,R,PA,Defeated in general election,109
https://api.propublica.org/congress/v1/members/E000250.json,2005-01-04,17,2007-01-03,Lane,E000250,Evans,A.,Did not seek reelection,D,IL,Retiring,109
https://api.propublica.org/congress/v1/members/B000220.json,2005-01-04,2,2007-01-03,Charles,B000220,Bass,F.,Defeated for reelection,R,NH,Defeated in general election,109
https://api.propublica.org/congress/v1/members/J000082.json,2005-01-04,1,2007-01-03,William,J000082,Jenkins,Lewis,Did not seek reelection,R,TN,Retiring,109
https://api.propublica.org/congress/v1/members/S001166.json,2006-11-13,22,2007-01-03,Shelley,S001166,Sekula-Gibbs,,replaced Rep. Tom DeLay in special election,R,TX,Defeated in general election,109
https://api.propublica.org/congress/v1/members/H000807.json,2005-01-04,8,2007-01-03,John,H000807,Hostettler,Nathan,Defeated for reelection,R,IN,Defeated in general election,109
https://api.propublica.org/congress/v1/members/C000994.json,2005-01-04,50,2005-12-01,Randy,C000994,Cunningham,'Duke',Resigned 12/1/2005,R,CA,Left Congress,109
https://api.propublica.org/congress/v1/members/M000639.json,2005-01-04,13,2007-01-03,Robert,M000639,Menendez,,Appointed to the U.S. Senate 1/18/2006,D,NJ,Elected to federal post,109
https://api.propublica.org/congress/v1/members/S000033.json,2005-01-04,1,2007-01-03,Bernard,S000033,Sanders,,Elected to the U.S. Senate,I,VT,Elected to federal post,109
https://api.propublica.org/congress/v1/members/J000163.json,2005-01-04,5,2007-01-03,Nancy,J000163,Johnson,Lee,Defeated for reelection,R,CT,Defeated in general election,109
https://api.propublica.org/congress/v1/members/O000163.json,2005-01-04,4,2007-01-03,Michael,O000163,Oxley,G.,Did not seek reelection,R,OH,Retiring,109
https://api.propublica.org/congress/v1/members/S001149.json,2005-01-04,20,2007-01-03,John,S001149,Sweeney,E.,Defeated for reelection,R,NY,Defeated in general election,109
https://api.propublica.org/congress/v1/members/F000238.json,2005-01-04,16,2006-09-29,Mark,F000238,Foley,Adam,Resigned 9/29/2006,R,FL,Left Congress,109
