api_uri,begin_date,district,end_date,first_name,id,last_name,middle_name,note,party,state,status,session
https://api.propublica.org/congress/v1/members/B001279.json,2013-01-03,2,2015-01-03,Ron,B001279,Barber,,Defeated in general election.,D,AZ,Defeated in general election,113
https://api.propublica.org/congress/v1/members/S001186.json,2013-01-03,2,2015-01-03,Steve,S001186,Southerland,,Defeated in general election.,R,FL,Defeated in general election,113
https://api.propublica.org/congress/v1/members/M001171.json,2013-01-03,24,2015-01-03,Dan,M001171,Maffei,,Defeated in general election.,D,NY,Defeated in general election,113
https://api.propublica.org/congress/v1/members/T000459.json,2013-01-03,2,2015-01-02,Lee,T000459,Terry,,Defeated in general election.,R,NE,Defeated in general election,113
https://api.propublica.org/congress/v1/members/H001066.json,2013-01-03,4,2015-01-03,Steven,H001066,Horsford,,Defeated in general election.,D,NV,Defeated in general election,113
https://api.propublica.org/congress/v1/members/G000572.json,2013-01-03,23,2015-01-03,Pete,G000572,Gallego,,Defeated in general election.,D,TX,Defeated in general election,113
https://api.propublica.org/congress/v1/members/G000573.json,2013-01-03,26,2015-01-03,Joe,G000573,Garcia,,Defeated in general election.,D,FL,Defeated in general election,113
https://api.propublica.org/congress/v1/members/B001242.json,2013-01-03,1,2015-01-02,Timothy,B001242,Bishop,H.,Defeated in general election.,D,NY,Defeated in general election,113
https://api.propublica.org/congress/v1/members/R000011.json,2013-01-03,3,2015-01-02,Nick,R000011,Rahall II,J.,Defeated in general election.,D,WV,Defeated in general election,113
https://api.propublica.org/congress/v1/members/S001190.json,2013-01-03,10,2015-01-03,Brad,S001190,Schneider,,Defeated in general election.,D,IL,Defeated in general election,113
https://api.propublica.org/congress/v1/members/F000010.json,2013-01-03,At-Large,2015-01-03,Eni,F000010,Faleomavaega,F. H.,Defeated in general election.,D,AS,Defeated in general election,113
https://api.propublica.org/congress/v1/members/E000292.json,2013-01-03,12,2015-01-03,Bill,E000292,Enyart,,Defeated in general election.,D,IL,Defeated in general election,113
https://api.propublica.org/congress/v1/members/B001252.json,2013-01-03,12,2015-01-02,John,B001252,Barrow,,Defeated in general election.,D,GA,Defeated in general election,113
https://api.propublica.org/congress/v1/members/S001170.json,2013-01-03,1,2015-01-03,Carol,S001170,Shea-Porter,,Defeated in general election.,D,NH,Defeated in general election,113
https://api.propublica.org/congress/v1/members/T000266.json,2013-01-03,6,2015-01-03,John,T000266,Tierney,F.,Lost primary election.,D,MA,Defeated in primary election,113
https://api.propublica.org/congress/v1/members/C001046.json,2013-01-03,7,2014-08-18,Eric,C001046,Cantor,,"Lost primary election to David Brat, resigned on Aug. 18, 2014.",R,VA,Defeated in primary election,113
https://api.propublica.org/congress/v1/members/H000067.json,2013-01-03,4,2015-01-03,Ralph,H000067,Hall,M.,Lost to John Ratcliffe in the Republican primary.,R,TX,Defeated in primary election,113
https://api.propublica.org/congress/v1/members/M001192.json,2013-11-21,5,2015-01-03,Vance,M001192,McAllister,,"Elected to fill vacancy caused by resignation of Rodney Alexander; announced retirement on April 28, 2014, but changed mind.",R,LA,Defeated in general election,113
https://api.propublica.org/congress/v1/members/P000265.json,2013-01-03,6,2015-01-03,Tom,P000265,Petri,,"Announced retirement on April 11, 2014.",R,WI,Retiring,113
https://api.propublica.org/congress/v1/members/C000071.json,2013-01-03,4,2015-01-03,Dave,C000071,Camp,,"Announced retirement on March 31, 2014.",R,MI,Retiring,113
https://api.propublica.org/congress/v1/members/R000572.json,2013-01-03,8,2015-01-03,Mike,R000572,Rogers,,"Announced retirement on March 28, 2014.",R,MI,Retiring,113
https://api.propublica.org/congress/v1/members/P000099.json,2013-01-03,7,2015-01-02,Ed,P000099,Pastor,,"Announced retirement on Feb. 27, 2014.",D,AZ,Retiring,113
https://api.propublica.org/congress/v1/members/D000355.json,2013-01-03,12,2015-01-02,John,D000355,Dingell,D.,"Announced retirement on Feb. 24, 2014.",D,MI,Retiring,113
https://api.propublica.org/congress/v1/members/H001032.json,2013-01-03,12,2015-01-03,Rush,H001032,Holt,,"Announced retirement on Feb. 18, 2014.",D,NJ,Retiring,113
https://api.propublica.org/congress/v1/members/N000187.json,2013-01-03,35,2015-01-03,Gloria,N000187,Negrete McLeod,,"Announced run for county supervisor on Feb. 18, 2014.",D,CA,Seeking another office,113
https://api.propublica.org/congress/v1/members/H000329.json,2013-01-03,4,2015-01-03,Doc,H000329,Hastings,,"Announced retirement on Feb. 13, 2014.",R,WA,Retiring,113
