"","candidateId","categoryId","rating"
"1",28499,11,63.75
"2",28088,11,87.1851851851852
"3",28338,11,54.6271186440678
"4",28128,11,69.3668639053254
"5",123732,11,28.24
"6",17189,30,91.2857142857143
"7",72826,30,84.7142857142857
"8",25292,37,66.875
"9",25186,37,67.1851851851852
"10",24340,37,29.8235294117647
"11",65306,37,84.9333333333333
"12",27069,37,59.5151515151515
"13",123456,37,82.3076923076923
"14",123473,37,82.3076923076923
"15",48891,37,37.8695652173913
"16",27958,29,39.6666666666667
"17",28128,29,48.1666666666667
"18",1721,29,26.1818181818182
"19",542,29,47.1666666666667
"20",26900,29,64
"21",26888,29,44.1666666666667
"22",6098,29,44.6666666666667
"23",418,29,31.8333333333333
"24",21926,29,37.5
"25",21787,29,25.7272727272727
"26",26961,29,33
"27",22658,29,62.8333333333333
"28",27018,29,60.5
"29",27008,29,54.25
"30",24096,29,65.6666666666667
"31",27110,29,68.1666666666667
"32",3470,29,62.8333333333333
"33",11701,29,38.6666666666667
"34",26717,29,37.3333333333333
"35",5705,29,37.5
"36",441,29,37.5
"37",28253,29,63.5
"38",28399,29,45.8333333333333
"39",3564,29,39.1666666666667
"40",26732,29,37.8333333333333
"41",8315,29,57.3333333333333
"42",26741,29,53.1666666666667
"43",21899,29,56.5
"44",16725,29,37.5
"45",9489,29,39.1666666666667
"46",142,29,40.5
"47",8393,29,42
"48",29674,29,60
"49",26772,29,43.1666666666667
"50",26766,29,35
"51",26777,29,37.5
"52",26759,29,48.1666666666667
"53",26763,29,46.6666666666667
"54",16553,29,37.5
"55",8168,29,31.8333333333333
"56",561,29,58.1666666666667
"57",17188,29,54.5
"58",26788,29,43.3333333333333
"59",26798,29,64.2727272727273
"60",24312,29,30.2
"61",26815,29,30.1818181818182
"62",26817,29,48.5454545454545
"63",26820,29,70.9090909090909
"64",7826,29,58.4545454545455
"65",10853,29,37
"66",2917,29,37
"67",26831,29,58.6666666666667
"68",26841,29,38.5
"69",233,29,61.3333333333333
"70",6387,29,61.3333333333333
"71",246,29,42.6666666666667
"72",26851,29,32.3333333333333
"73",26875,29,37
"74",26895,29,33.5
"75",552,29,55.8333333333333
"76",18883,29,51.6666666666667
"77",4844,29,35
"78",36130,29,34.8333333333333
"79",26890,29,26.5
"80",345,29,39.1666666666667
"81",26906,29,52.2
"82",26918,29,33.1666666666667
"83",26904,29,55.5
"84",3812,29,55.8333333333333
"85",26926,29,50.8333333333333
"86",8967,29,56.5
"87",9425,29,41.8333333333333
"88",26929,29,35
"89",21785,29,39.4545454545455
"90",119,29,69.0909090909091
"91",21890,29,25.8333333333333
"92",26952,29,34
"93",26951,29,39.1666666666667
"94",478,29,39.1666666666667
"95",22177,29,37
"96",10655,29,50.6
"97",26968,29,36.5
"98",4360,29,30.8333333333333
"99",26975,29,57.3333333333333
"100",26980,29,61
"101",26978,29,44.6666666666667
"102",4295,29,53.1666666666667
"103",26981,29,54.5
"104",26972,29,36.5
"105",26982,29,36.5
"106",26991,29,40.6666666666667
"107",21790,29,53.8
