1,state_abbreviation,state,district,fec_id,incumbent,candidate_name_first,candidate_name_last,candidate_name,total_votes,party,primary_votes,primary_percent,runoff_votes,runoff_percent,general_votes_,general_percent,ge_runoff_election_votes_la,ge_runoff_election_percent_la,combined_ge_party_totals_ct_ny_sc,combined_percent_ct_ny_sc,ge_winner_indicator,footnotes,election_year,ge_runoff,ge_runoff_percent,combined_ge_party_totals_ct_ny,combined_percent_ct_ny,combined_ge_party_totals_ny_sc,combined_percent_ny_sc,party_cleaner
221.0,CA,California,11,H0CA10073,0.0,Mark,Desaulnier,"Desaulnier, Mark",,D,59605,0.5880060768684398,,,117502,0.6727393479978473,,,,,W,,2014,,,,,,,D
229.0,CA,California,12,H8CA05035,1.0,Nancy,Pelosi,"Pelosi, Nancy",,D,79816,0.73605193751268,,,160067,0.8325375525319353,,,,,W,,2014,,,,,,,D
238.0,CA,California,13,H8CA09060,1.0,Barbara,Lee,"Lee, Barbara",,D,77461,0.825933508199518,,,168491,0.8847876658737286,,,,,W,,2014,,,,,,,D
243.0,CA,California,14,H8CA12171,1.0,Jackie,Speier,"Speier, Jackie",,D,66800,0.7742055121578081,,,114389,0.7669598916497928,,,,,W,,2014,,,,,,,D
246.0,CA,California,15,H2CA15094,1.0,Eric,Swalwell,"Swalwell, Eric",,D,42419,0.4907050725895078,,,99756,0.6980532657831022,,,,,W,,2014,,,,,,,D
250.0,CA,California,16,H4CA20082,1.0,Jim,Costa,"Costa, Jim",,D,25586,0.44291723648449804,,,46277,0.5073119929839948,,,,,W,,2014,,,,,,,D
257.0,CA,California,17,H0CA15148,1.0,Mike,Honda,"Honda, Mike",,D,43607,0.4818240077786617,,,69561,0.5175361585619903,,,,,W,,2014,,,,,,,D
262.0,CA,California,18,H8CA12098,1.0,Anna G.,Eshoo,"Eshoo, Anna G.",,D,81295,0.676106121091151,,,133060,0.6775432057274958,,,,,W,,2014,,,,,,,D
267.0,CA,California,19,H4CA16049,1.0,Zoe,Lofgren,"Lofgren, Zoe",,D,63845,0.7602676923443323,,,85888,0.6721131874667418,,,,,W,,2014,,,,,,,D
270.0,CA,California,20,H4CA17021,1.0,Sam,Farr,"Farr, Sam",,D,67528,0.7381884168871204,,,106034,0.7517795865120105,,,,,W,,2014,,,,,,,D
273.0,CA,California,21,H2CA20094,1.0,David,Valadao,"Valadao, David",,R,28773,0.6297852780878587,,,45907,0.5783413331317636,,,,,W,,2014,,,,,,,R
277.0,CA,California,22,H8CA20059,1.0,Devin G.,Nunes,"Nunes, Devin G.",,R,60499,0.6790011223344556,,,96053,0.7203506772059816,,,,,W,,2014,,,,,,,R
281.0,CA,California,23,H6CA22125,1.0,Kevin,McCarthy,"McCarthy, Kevin",,R,58334,0.9908783611625418,,,100317,0.7483941720194266,,,,,W,,2014,,,,,,,R
287.0,CA,California,24,H8CA22089,1.0,Lois,Capps,"Capps, Lois",,D,58198,0.4367153673562804,,,103228,0.5192712053683712,,,,,W,,2014,,,,,,,D
297.0,CA,California,25,H4CA25123,0.0,Steve,Knight,"Knight, Steve",,R,18327,0.28399863633546146,,,60847,0.5334087243144681,,,,,W,,2014,,,,,,,R
306.0,CA,California,26,H2CA00120,1.0,Julia,Brownley,"Brownley, Julia",,D,38854,0.45501282336546006,,,87176,0.5133163358437016,,,,,W,,2014,,,,,,,D
311.0,CA,California,27,H0CA32101,1.0,Judy,Chu,"Chu, Judy",,D,39915,0.6036751361161524,,,75728,0.5935726602915817,,,,,W,,2014,,,,,,,D
314.0,CA,California,28,H0CA27085,1.0,Adam B.,Schiff,"Schiff, Adam B.",,D,46004,0.7448472386380195,,,91996,0.764950442360141,,,,,W,,2014,,,,,,,D
319.0,CA,California,29,H2CA28113,1.0,Tony,Cardenas,"Cardenas, Tony",,D,19566,0.6284649728583818,,,50096,0.746131275971463,,,,,W,,2014,,,,,,,D
323.0,CA,California,30,H6CA24113,1.0,Brad,Sherman,"Sherman, Brad",,D,40787,0.5793361078363138,,,86568,0.656399990901026,,,,,W,,2014,,,,,,,D
330.0,CA,California,31,H2CA31125,0.0,Pete,Aguilar,"Aguilar, Pete",,D,9242,0.17356194482525494,,,51622,0.5173374488896015,,,,,W,,2014,,,,,,,D
338.0,CA,California,32,H8CA34068,1.0,Grace F.,Napolitano,"Napolitano, Grace F.",,D,24639,0.5995182247311305,,,50353,0.5965571167926451,,,,,W,,2014,,,,,,,D
341.0,CA,California,33,H4CA33119,0.0,Ted,Lieu,"Lieu, Ted",,D,20432,0.18806030594775694,,,108331,0.5918724150553731,,,,,W,,2014,,,,,,,D
361.0,CA,California,34,H2CA30143,1.0,Xavier,Becerra,"Becerra, Xavier",,D,22878,0.7383096137089747,,,44697,0.7253533697927654,,,,,W,,2014,,,,,,,D
366.0,CA,California,35,H4CA35031,0.0,Norma J.,Torres,"Torres, Norma J.",,D,17996,0.6567643516659976,,,39502,0.634519315717613,,,,,W,,2014,,,,,,,D
372.0,CA,California,36,H2CA36439,1.0,Raul,Ruiz,"Ruiz, Raul",,D,41443,0.5033338596256847,,,72682,0.5418409262034158,,,,,W,,2014,,,,,,,D
376.0,CA,California,37,H0CA33117,1.0,Karen,Bass,"Bass, Karen",,D,47639,0.7960264679343648,,,96787,0.8428133544645501,,,,,W,,2014,,,,,,,D
380.0,CA,California,38,H2CA39078,1.0,Linda T.,Sanchez,"Sanchez, Linda T.",,D,27149,0.5752516156372497,,,58192,0.5909017059301381,,,,,W,,2014,,,,,,,D
383.0,CA,California,39,H6CA39020,1.0,Ed,Royce,"Royce, Ed",,R,49071,0.7055398197006513,,,91319,0.6854494276599737,,,,,W,,2014,,,,,,,R
386.0,CA,California,40,H2CA33048,1.0,Lucille,Roybal-Allard,"Roybal-Allard, Lucille",,D,13745,0.6635929126635446,,,30208,0.6117580347921181,,,,,W,,2014,,,,,,,D
389.0,CA,California,41,H2CA43245,1.0,Mark,Takano,"Takano, Mark",,D,19648,0.446525157947366,,,46948,0.5664301915930698,,,,,W,,2014,,,,,,,D
394.0,CA,California,42,H2CA37023,1.0,Ken,Calvert,"Calvert, Ken",,R,37506,0.6749325175454381,,,74540,0.6573771937560632,,,,,W,,2014,,,,,,,R
400.0,CA,California,43,H4CA23011,1.0,Maxine,Waters,"Waters, Maxine",,D,33746,0.6722578588788398,,,69681,0.7095680332376123,,,,,W,,2014,,,,,,,D
404.0,CA,California,44,H8CA36097,1.0,Janice,Hahn,"Hahn, Janice",,D,25641,0.9998050378226624,,,59670,0.8665156399756034,,,,,W,,2014,,,,,,,D
407.0,CA,California,45,H4CA45097,0.0,Mimi,Walters,"Walters, Mimi",,R,39631,0.45059293031505465,,,106083,0.6512074744324808,,,,,W,,2014,,,,,,,R
412.0,CA,California,46,H6CA46033,1.0,Loretta,Sanchez,"Sanchez, Loretta",,D,20172,0.5058681913933193,,,49738,0.5969873372141872,,,,,W,,2014,,,,,,,D
418.0,CA,California,47,H2CA00104,1.0,Alan,Lowenthal,"Lowenthal, Alan",,D,44019,0.5708227971211827,,,69091,0.5598946515397083,,,,,W,,2014,,,,,,,D
422.0,CA,California,48,H8CA42061,1.0,Dana,Rohrabacher,"Rohrabacher, Dana",,R,52431,0.5608313366421359,,,112082,0.6412197145227266,,,,,W,,2014,,,,,,,R
428.0,CA,California,49,H0CA48024,1.0,Darrell,Issa,"Issa, Darrell",,R,56558,0.6187491111184045,,,98161,0.6016905517892388,,,,,W,,2014,,,,,,,R
433.0,CA,California,50,H8CA52052,1.0,Duncan D.,Hunter,"Hunter, Duncan D.",,R,62371,0.7043034429802274,,,111997,0.712000712019784,,,,,W,,2014,,,,,,,R
437.0,CA,California,51,H2CA50026,1.0,Juan,Vargas,"Vargas, Juan",,D,35812,0.6834481574075841,,,56373,0.6878950579621721,,,,,W,,2014,,,,,,,D
441.0,CA,California,52,H2CA52089,1.0,Scott,Peters,"Peters, Scott",,D,53926,0.4229224832951658,,,98826,0.5158687073267492,,,,,W,,2014,,,,,,,D
446.0,CA,California,53,H0CA49055,1.0,Susan A.,Davis,"Davis, Susan A.",,D,50041,0.5625555068406911,,,87104,0.5883656210315852,,,,,W,,2014,,,,,,,D
457.0,CO,Colorado,01,H6CO01141,1.0,Diana,DeGette,"DeGette, Diana",,D,43514,1.0,,,183281,0.658114717013652,,,,,W,,2014,,,,,,,D
469.0,CO,Colorado,02,H8CO02137,1.0,Jared,Polis,"Polis, Jared",,D,37759,1.0,,,196300,0.5674312390697943,,,,,W,,2014,,,,,,,D
475.0,CO,Colorado,03,H6CO03139,1.0,Scott R.,Tipton,"Tipton, Scott R.",,R,46177,0.7453914447134786,,,163011,0.5798193788881736,,,,,W,,2014,,,,,,,R
484.0,CO,Colorado,04,H4CO04090,0.0,Ken,Buck,"Buck, Ken",,R,32714,0.4419377499189452,,,185292,0.646727654123634,,,,,W,,2014,,,,,,,R
496.0,CO,Colorado,05,H6CO05159,1.0,Doug,Lamborn,"Lamborn, Doug",,R,38741,0.5256010202420361,,,157182,0.5979798748359362,,,,,W,,2014,,,,,,,R
503.0,CO,Colorado,06,H8CO06138,1.0,Mike,Coffman,"Coffman, Mike",,R,43737,1.0,,,143467,0.5189806106207495,,,,,W,,2014,,,,,,,R
511.0,CO,Colorado,07,H6CO07023,1.0,Ed,Perlmutter,"Perlmutter, Ed",,D,30659,1.0,,,148225,0.5507295378293323,,,,,W,,2014,,,,,,,D
